UniqueIndex,Comment,Icon,Type,PossibleHero,PossibleDeck,DeckUniqueID,SC,Rare,EnchantExp,SacrificeExp,CoolTime,SummonArea,illustTable,ResourceTable,DataTable,HeroDataTable,UniqueGroup,NextID,Enchant,MaxEnchant,Limit,MaxLimit,LevelDataTable,AddtionDataTable,ActionScript,UsingSound
2110,CARD_COMMENT_2101,0,1,0,1,2101,18,1000,94,80,8,0,U_003,1011,2101,0,2101,2111,9,10,1,1,7300,0,ActionNormal,FX_COM03_UseUnit
2111,CARD_COMMENT_2101,0,1,0,1,2101,18,1000,0,88,8,0,U_003,1011,2101,0,2101,0,10,10,1,1,7300,0,ActionNormal,FX_COM03_UseUnit
2201,CARD_COMMENT_2201,0,1,0,1,2201,20,2000,14,16,8,0,U_004,1011,2201,0,2201,2202,0,4,0,1,7400,0,ActionNormal,FX_COM03_UseUnit
2202,CARD_COMMENT_2201,0,1,0,1,2201,20,2000,25,29,8,0,U_004,1011,2201,0,2201,2203,1,4,0,1,7400,0,ActionNormal,FX_COM03_UseUnit
2203,CARD_COMMENT_2201,0,1,0,1,2201,20,2000,36,42,8,0,U_004,1011,2201,0,2201,2204,2,4,0,1,7400,0,ActionNormal,FX_COM03_UseUnit
2204,CARD_COMMENT_2201,0,1,0,1,2201,20,2000,48,54,8,0,U_004,1011,2201,0,2201,2205,3,4,0,1,7400,0,ActionNormal,FX_COM03_UseUnit
2205,CARD_COMMENT_2201,0,1,0,1,2201,20,2000,1,67,8,0,U_004,1011,2201,0,2201,2206,4,4,0,1,7400,0,ActionNormal,FX_COM03_UseUnit
2206,CARD_COMMENT_2201,0,1,0,1,2201,20,2000,84,80,8,0,U_004,1011,2201,0,2201,2207,5,10,1,1,7400,0,ActionNormal,FX_COM03_UseUnit
2207,CARD_COMMENT_2201,0,1,0,1,2201,20,2000,98,93,8,0,U_004,1011,2201,0,2201,2208,6,10,1,1,7400,0,ActionNormal,FX_COM03_UseUnit
2208,CARD_COMMENT_2201,0,1,0,1,2201,20,2000,112,106,8,0,U_004,1011,2201,0,2201,2209,7,10,1,1,7400,0,ActionNormal,FX_COM03_UseUnit
2209,CARD_COMMENT_2201,0,1,0,1,2201,20,2000,126,118,8,0,U_004,1011,2201,0,2201,2210,8,10,1,1,7400,0,ActionNormal,FX_COM03_UseUnit
2210,CARD_COMMENT_2201,0,1,0,1,2201,20,2000,140,131,8,0,U_004,1011,2201,0,2201,2211,9,10,1,1,7400,0,ActionNormal,FX_COM03_UseUnit
2211,CARD_COMMENT_2201,0,1,0,1,2201,20,2000,0,144,8,0,U_004,1011,2201,0,2201,0,10,10,1,1,7400,0,ActionNormal,FX_COM03_UseUnit
4401,CARD_COMMENT_4401,0,1,0,1,4401,20,2000,14,16,8,0,U_005,1011,4401,0,4401,4402,0,4,0,1,7500,0,ActionNormal,FX_COM03_UseUnit
4402,CARD_COMMENT_4401,0,1,0,1,4401,20,2000,25,29,8,0,U_005,1011,4401,0,4401,4403,1,4,0,1,7500,0,ActionNormal,FX_COM03_UseUnit
4403,CARD_COMMENT_4401,0,1,0,1,4401,20,2000,36,42,8,0,U_005,1011,4401,0,4401,4404,2,4,0,1,7500,0,ActionNormal,FX_COM03_UseUnit
4404,CARD_COMMENT_4401,0,1,0,1,4401,20,2000,48,54,8,0,U_005,1011,4401,0,4401,4405,3,4,0,1,7500,0,ActionNormal,FX_COM03_UseUnit
4405,CARD_COMMENT_4401,0,1,0,1,4401,20,2000,1,67,8,0,U_005,1011,4401,0,4401,4406,4,4,0,1,7500,0,ActionNormal,FX_COM03_UseUnit
4406,CARD_COMMENT_4401,0,1,0,1,4401,20,2000,84,80,8,0,U_005,1011,4401,0,4401,4407,5,10,1,1,7500,0,ActionNormal,FX_COM03_UseUnit
4407,CARD_COMMENT_4401,0,1,0,1,4401,20,2000,98,93,8,0,U_005,1011,4401,0,4401,4408,6,10,1,1,7500,0,ActionNormal,FX_COM03_UseUnit
4408,CARD_COMMENT_4401,0,1,0,1,4401,20,2000,112,106,8,0,U_005,1011,4401,0,4401,4409,7,10,1,1,7500,0,ActionNormal,FX_COM03_UseUnit
4409,CARD_COMMENT_4401,0,1,0,1,4401,20,2000,126,118,8,0,U_005,1011,4401,0,4401,4410,8,10,1,1,7500,0,ActionNormal,FX_COM03_UseUnit
4410,CARD_COMMENT_4401,0,1,0,1,4401,20,2000,140,131,8,0,U_005,1011,4401,0,4401,4411,9,10,1,1,7500,0,ActionNormal,FX_COM03_UseUnit
4411,CARD_COMMENT_4401,0,1,0,1,4401,20,2000,0,144,8,0,U_005,1011,4401,0,4401,0,10,10,1,1,7500,0,ActionNormal,FX_COM03_UseUnit
4501,CARD_COMMENT_4501,0,1,0,1,4501,20,2000,14,16,8,0,U_006,1011,4501,0,4501,4502,0,4,0,1,7500,0,ActionNormal,FX_COM03_UseUnit
4502,CARD_COMMENT_4501,0,1,0,1,4501,20,2000,25,29,8,0,U_006,1011,4501,0,4501,4503,1,4,0,1,7500,0,ActionNormal,FX_COM03_UseUnit
4503,CARD_COMMENT_4501,0,1,0,1,4501,20,2000,36,42,8,0,U_006,1011,4501,0,4501,4504,2,4,0,1,7500,0,ActionNormal,FX_COM03_UseUnit
4504,CARD_COMMENT_4501,0,1,0,1,4501,20,2000,48,54,8,0,U_006,1011,4501,0,4501,4505,3,4,0,1,7500,0,ActionNormal,FX_COM03_UseUnit
4505,CARD_COMMENT_4501,0,1,0,1,4501,20,2000,1,67,8,0,U_006,1011,4501,0,4501,4506,4,4,0,1,7500,0,ActionNormal,FX_COM03_UseUnit
4506,CARD_COMMENT_4501,0,1,0,1,4501,20,2000,84,80,8,0,U_006,1011,4501,0,4501,4507,5,10,1,1,7500,0,ActionNormal,FX_COM03_UseUnit
4507,CARD_COMMENT_4501,0,1,0,1,4501,20,2000,98,93,8,0,U_006,1011,4501,0,4501,4508,6,10,1,1,7500,0,ActionNormal,FX_COM03_UseUnit
4508,CARD_COMMENT_4501,0,1,0,1,4501,20,2000,112,106,8,0,U_006,1011,4501,0,4501,4509,7,10,1,1,7500,0,ActionNormal,FX_COM03_UseUnit
4509,CARD_COMMENT_4501,0,1,0,1,4501,20,2000,126,118,8,0,U_006,1011,4501,0,4501,4510,8,10,1,1,7500,0,ActionNormal,FX_COM03_UseUnit
4510,CARD_COMMENT_4501,0,1,0,1,4501,20,2000,140,131,8,0,U_006,1011,4501,0,4501,4511,9,10,1,1,7500,0,ActionNormal,FX_COM03_UseUnit
4511,CARD_COMMENT_4501,0,1,0,1,4501,20,2000,0,144,8,0,U_006,1011,4501,0,4501,0,10,10,1,1,7500,0,ActionNormal,FX_COM03_UseUnit
2301,CARD_COMMENT_2301,1,0,1,2301,17,1000,8,8,9,0,U_008,1031,2301,0,2301,2302,0,4,0,1,6200,0,ActionNormal,FX_COM03_UseUnit,
2302,CARD_COMMENT_2301,1,0,1,2301,17,1000,16,16,9,0,U_008,1031,2301,0,2301,2303,1,4,0,1,6200,0,ActionNormal,FX_COM03_UseUnit,
2303,CARD_COMMENT_2301,1,0,1,2301,17,1000,24,24,9,0,U_008,1031,2301,0,2301,2304,2,4,0,1,6200,0,ActionNormal,FX_COM03_UseUnit,
2304,CARD_COMMENT_2301,1,0,1,2301,17,1000,32,32,9,0,U_008,1031,2301,0,2301,2305,3,4,0,1,6200,0,ActionNormal,FX_COM03_UseUnit,
2305,CARD_COMMENT_2301,1,0,1,2301,17,1000,1,40,9,0,U_008,1031,2301,0,2301,2306,4,4,0,1,6200,0,ActionNormal,FX_COM03_UseUnit,
2306,CARD_COMMENT_2301,1,0,1,2301,17,1000,48,48,9,0,U_008,1031,2301,0,2301,2307,5,10,1,1,6200,0,ActionNormal,FX_COM03_UseUnit,
2307,CARD_COMMENT_2301,1,0,1,2301,17,1000,66,56,9,0,U_008,1031,2301,0,2301,2308,6,10,1,1,6200,0,ActionNormal,FX_COM03_UseUnit,
2308,CARD_COMMENT_2301,1,0,1,2301,17,1000,75,64,9,0,U_008,1031,2301,0,2301,2309,7,10,1,1,6200,0,ActionNormal,FX_COM03_UseUnit,
2309,CARD_COMMENT_2301,1,0,1,2301,17,1000,85,72,9,0,U_008,1031,2301,0,2301,2310,8,10,1,1,6200,0,ActionNormal,FX_COM03_UseUnit,
2310,CARD_COMMENT_2301,1,0,1,2301,17,1000,94,80,9,0,U_008,1031,2301,0,2301,2311,9,10,1,1,6200,0,ActionNormal,FX_COM03_UseUnit,
2311,CARD_COMMENT_2301,1,0,1,2301,17,1000,0,88,9,0,U_008,1031,2301,0,2301,0,10,10,1,1,6200,0,ActionNormal,FX_COM03_UseUnit,
2401,CARD_COMMENT_2401,1,0,1,2401,18,1000,8,8,9,0,U_009,1031,2401,0,2401,2402,0,4,0,1,7600,0,ActionNormal,FX_COM03_UseUnit,
2402,CARD_COMMENT_2401,1,0,1,2401,18,1000,16,16,9,0,U_009,1031,2401,0,2401,2403,1,4,0,1,7600,0,ActionNormal,FX_COM03_UseUnit,
2403,CARD_COMMENT_2401,1,0,1,2401,18,1000,24,24,9,0,U_009,1031,2401,0,2401,2404,2,4,0,1,7600,0,ActionNormal,FX_COM03_UseUnit,
2404,CARD_COMMENT_2401,1,0,1,2401,18,1000,32,32,9,0,U_009,1031,2401,0,2401,2405,3,4,0,1,7600,0,ActionNormal,FX_COM03_UseUnit,
2405,CARD_COMMENT_2401,1,0,1,2401,18,1000,1,40,9,0,U_009,1031,2401,0,2401,2406,4,4,0,1,7600,0,ActionNormal,FX_COM03_UseUnit,
2406,CARD_COMMENT_2401,1,0,1,2401,18,1000,48,48,9,0,U_009,1031,2401,0,2401,2407,5,10,1,1,7600,0,ActionNormal,FX_COM03_UseUnit,
2407,CARD_COMMENT_2401,1,0,1,2401,18,1000,66,56,9,0,U_009,1031,2401,0,2401,2408,6,10,1,1,7600,0,ActionNormal,FX_COM03_UseUnit,
2408,CARD_COMMENT_2401,1,0,1,2401,18,1000,75,64,9,0,U_009,1031,2401,0,2401,2409,7,10,1,1,7600,0,ActionNormal,FX_COM03_UseUnit,
2409,CARD_COMMENT_2401,1,0,1,2401,18,1000,85,72,9,0,U_009,1031,2401,0,2401,2410,8,10,1,1,7600,0,ActionNormal,FX_COM03_UseUnit,
2410,CARD_COMMENT_2401,1,0,1,2401,18,1000,94,80,9,0,U_009,1031,2401,0,2401,2411,9,10,1,1,7600,0,ActionNormal,FX_COM03_UseUnit,
2411,CARD_COMMENT_2401,1,0,1,2401,18,1000,0,88,9,0,U_009,1031,2401,0,2401,0,10,10,1,1,7600,0,ActionNormal,FX_COM03_UseUnit,
2501,CARD_COMMENT_2501,1,0,1,2501,19,2000,14,16,9,0,U_010,1031,2501,0,2501,2502,0,4,0,1,7700,0,ActionNormal,FX_COM03_UseUnit,
2502,CARD_COMMENT_2501,1,0,1,2501,19,2000,25,29,9,0,U_010,1031,2501,0,2501,2503,1,4,0,1,7700,0,ActionNormal,FX_COM03_UseUnit,
2503,CARD_COMMENT_2501,1,0,1,2501,19,2000,36,42,9,0,U_010,1031,2501,0,2501,2504,2,4,0,1,7700,0,ActionNormal,FX_COM03_UseUnit,
2504,CARD_COMMENT_2501,1,0,1,2501,19,2000,48,54,9,0,U_010,1031,2501,0,2501,2505,3,4,0,1,7700,0,ActionNormal,FX_COM03_UseUnit,
2505,CARD_COMMENT_2501,1,0,1,2501,19,2000,1,67,9,0,U_010,1031,2501,0,2501,2506,4,4,0,1,7700,0,ActionNormal,FX_COM03_UseUnit,
2506,CARD_COMMENT_2501,1,0,1,2501,19,2000,84,80,9,0,U_010,1031,2501,0,2501,2507,5,10,1,1,7700,0,ActionNormal,FX_COM03_UseUnit,
2507,CARD_COMMENT_2501,1,0,1,2501,19,2000,98,93,9,0,U_010,1031,2501,0,2501,2508,6,10,1,1,7700,0,ActionNormal,FX_COM03_UseUnit,
2508,CARD_COMMENT_2501,1,0,1,2501,19,2000,112,106,9,0,U_010,1031,2501,0,2501,2509,7,10,1,1,7700,0,ActionNormal,FX_COM03_UseUnit,
2509,CARD_COMMENT_2501,1,0,1,2501,19,2000,126,118,9,0,U_010,1031,2501,0,2501,2510,8,10,1,1,7700,0,ActionNormal,FX_COM03_UseUnit,
2510,CARD_COMMENT_2501,1,0,1,2501,19,2000,140,131,9,0,U_010,1031,2501,0,2501,2511,9,10,1,1,7700,0,ActionNormal,FX_COM03_UseUnit,
2511,CARD_COMMENT_2501,1,0,1,2501,19,2000,0,144,9,0,U_010,1031,2501,0,2501,0,10,10,1,1,7700,0,ActionNormal,FX_COM03_UseUnit,
4601,CARD_COMMENT_4601,1,0,1,4601,20,2000,14,16,9,0,U_011,1031,4601,0,4601,4602,0,4,0,1,7800,0,ActionNormal,FX_COM03_UseUnit,
4602,CARD_COMMENT_4601,1,0,1,4601,20,2000,25,29,9,0,U_011,1031,4601,0,4601,4603,1,4,0,1,7800,0,ActionNormal,FX_COM03_UseUnit,
4603,CARD_COMMENT_4601,1,0,1,4601,20,2000,36,42,9,0,U_011,1031,4601,0,4601,4604,2,4,0,1,7800,0,ActionNormal,FX_COM03_UseUnit,
4604,CARD_COMMENT_4601,1,0,1,4601,20,2000,48,54,9,0,U_011,1031,4601,0,4601,4605,3,4,0,1,7800,0,ActionNormal,FX_COM03_UseUnit,
4605,CARD_COMMENT_4601,1,0,1,4601,20,2000,1,67,9,0,U_011,1031,4601,0,4601,4606,4,4,0,1,7800,0,ActionNormal,FX_COM03_UseUnit,
4606,CARD_COMMENT_4601,1,0,1,4601,20,2000,84,80,9,0,U_011,1031,4601,0,4601,4607,5,10,1,1,7800,0,ActionNormal,FX_COM03_UseUnit,
4607,CARD_COMMENT_4601,1,0,1,4601,20,2000,98,93,9,0,U_011,1031,4601,0,4601,4608,6,10,1,1,7800,0,ActionNormal,FX_COM03_UseUnit,
4608,CARD_COMMENT_4601,1,0,1,4601,20,2000,112,106,9,0,U_011,1031,4601,0,4601,4609,7,10,1,1,7800,0,ActionNormal,FX_COM03_UseUnit,
4609,CARD_COMMENT_4601,1,0,1,4601,20,2000,126,118,9,0,U_011,1031,4601,0,4601,4610,8,10,1,1,7800,0,ActionNormal,FX_COM03_UseUnit,
4610,CARD_COMMENT_4601,1,0,1,4601,20,2000,140,131,9,0,U_011,1031,4601,0,4601,4611,9,10,1,1,7800,0,ActionNormal,FX_COM03_UseUnit,
4611,CARD_COMMENT_4601,1,0,1,4601,20,2000,0,144,9,0,U_011,1031,4601,0,4601,0,10,10,1,1,7800,0,ActionNormal,FX_COM03_UseUnit,
4701,CARD_COMMENT_4701,1,0,1,4701,19,2000,14,16,9,0,U_012,1031,4701,0,4701,4702,0,4,0,1,7900,0,ActionNormal,FX_COM03_UseUnit,
4702,CARD_COMMENT_4701,1,0,1,4701,19,2000,25,29,9,0,U_012,1031,4701,0,4701,4703,1,4,0,1,7900,0,ActionNormal,FX_COM03_UseUnit,
4703,CARD_COMMENT_4701,1,0,1,4701,19,2000,36,42,9,0,U_012,1031,4701,0,4701,4704,2,4,0,1,7900,0,ActionNormal,FX_COM03_UseUnit,
4704,CARD_COMMENT_4701,1,0,1,4701,19,2000,48,54,9,0,U_012,1031,4701,0,4701,4705,3,4,0,1,7900,0,ActionNormal,FX_COM03_UseUnit,
4705,CARD_COMMENT_4701,1,0,1,4701,19,2000,1,67,9,0,U_012,1031,4701,0,4701,4706,4,4,0,1,7900,0,ActionNormal,FX_COM03_UseUnit,
4706,CARD_COMMENT_4701,1,0,1,4701,19,2000,84,80,9,0,U_012,1031,4701,0,4701,4707,5,10,1,1,7900,0,ActionNormal,FX_COM03_UseUnit,
4707,CARD_COMMENT_4701,1,0,1,4701,19,2000,98,93,9,0,U_012,1031,4701,0,4701,4708,6,10,1,1,7900,0,ActionNormal,FX_COM03_UseUnit,
4708,CARD_COMMENT_4701,1,0,1,4701,19,2000,112,106,9,0,U_012,1031,4701,0,4701,4709,7,10,1,1,7900,0,ActionNormal,FX_COM03_UseUnit,
4709,CARD_COMMENT_4701,1,0,1,4701,19,2000,126,118,9,0,U_012,1031,4701,0,4701,4710,8,10,1,1,7900,0,ActionNormal,FX_COM03_UseUnit,
4710,CARD_COMMENT_4701,1,0,1,4701,19,2000,140,131,9,0,U_012,1031,4701,0,4701,4711,9,10,1,1,7900,0,ActionNormal,FX_COM03_UseUnit,
4711,CARD_COMMENT_4701,1,0,1,4701,19,2000,0,144,9,0,U_012,1031,4701,0,4701,0,10,10,1,1,7900,0,ActionNormal,FX_COM03_UseUnit,
2601,CARD_COMMENT_2601,1,0,1,2601,20,1000,8,8,10,0,U_014,1021,2601,0,2601,2602,0,4,0,1,6300,0,ActionNormal,FX_COM03_UseUnit,
2602,CARD_COMMENT_2601,1,0,1,2601,20,1000,16,16,10,0,U_014,1021,2601,0,2601,2603,1,4,0,1,6300,0,ActionNormal,FX_COM03_UseUnit,
2603,CARD_COMMENT_2601,1,0,1,2601,20,1000,24,24,10,0,U_014,1021,2601,0,2601,2604,2,4,0,1,6300,0,ActionNormal,FX_COM03_UseUnit,
2604,CARD_COMMENT_2601,1,0,1,2601,20,1000,32,32,10,0,U_014,1021,2601,0,2601,2605,3,4,0,1,6300,0,ActionNormal,FX_COM03_UseUnit,
2605,CARD_COMMENT_2601,1,0,1,2601,20,1000,1,40,10,0,U_014,1021,2601,0,2601,2606,4,4,0,1,6300,0,ActionNormal,FX_COM03_UseUnit,
2606,CARD_COMMENT_2601,1,0,1,2601,20,1000,48,48,10,0,U_014,1021,2601,0,2601,2607,5,10,1,1,6300,0,ActionNormal,FX_COM03_UseUnit,
2607,CARD_COMMENT_2601,1,0,1,2601,20,1000,66,56,10,0,U_014,1021,2601,0,2601,2608,6,10,1,1,6300,0,ActionNormal,FX_COM03_UseUnit,
2608,CARD_COMMENT_2601,1,0,1,2601,20,1000,75,64,10,0,U_014,1021,2601,0,2601,2609,7,10,1,1,6300,0,ActionNormal,FX_COM03_UseUnit,
2609,CARD_COMMENT_2601,1,0,1,2601,20,1000,85,72,10,0,U_014,1021,2601,0,2601,2610,8,10,1,1,6300,0,ActionNormal,FX_COM03_UseUnit,
2610,CARD_COMMENT_2601,1,0,1,2601,20,1000,94,80,10,0,U_014,1021,2601,0,2601,2611,9,10,1,1,6300,0,ActionNormal,FX_COM03_UseUnit,
2611,CARD_COMMENT_2601,1,0,1,2601,20,1000,0,88,10,0,U_014,1021,2601,0,2601,0,10,10,1,1,6300,0,ActionNormal,FX_COM03_UseUnit,
2801,CARD_COMMENT_2801,1,0,1,2801,22,2000,14,16,10,0,U_077,1021,2801,0,2801,2802,0,4,0,1,8100,0,ActionNormal,FX_COM03_UseUnit,
2802,CARD_COMMENT_2801,1,0,1,2801,22,2000,25,29,10,0,U_077,1021,2801,0,2801,2803,1,4,0,1,8100,0,ActionNormal,FX_COM03_UseUnit,
2803,CARD_COMMENT_2801,1,0,1,2801,22,2000,36,42,10,0,U_077,1021,2801,0,2801,2804,2,4,0,1,8100,0,ActionNormal,FX_COM03_UseUnit,
2804,CARD_COMMENT_2801,1,0,1,2801,22,2000,48,54,10,0,U_077,1021,2801,0,2801,2805,3,4,0,1,8100,0,ActionNormal,FX_COM03_UseUnit,
2805,CARD_COMMENT_2801,1,0,1,2801,22,2000,1,67,10,0,U_077,1021,2801,0,2801,2806,4,4,0,1,8100,0,ActionNormal,FX_COM03_UseUnit,
2806,CARD_COMMENT_2801,1,0,1,2801,22,2000,84,80,10,0,U_077,1021,2801,0,2801,2807,5,10,1,1,8100,0,ActionNormal,FX_COM03_UseUnit,
2807,CARD_COMMENT_2801,1,0,1,2801,22,2000,98,93,10,0,U_077,1021,2801,0,2801,2808,6,10,1,1,8100,0,ActionNormal,FX_COM03_UseUnit,
2808,CARD_COMMENT_2801,1,0,1,2801,22,2000,112,106,10,0,U_077,1021,2801,0,2801,2809,7,10,1,1,8100,0,ActionNormal,FX_COM03_UseUnit,
2809,CARD_COMMENT_2801,1,0,1,2801,22,2000,126,118,10,0,U_077,1021,2801,0,2801,2810,8,10,1,1,8100,0,ActionNormal,FX_COM03_UseUnit,
2810,CARD_COMMENT_2801,1,0,1,2801,22,2000,140,131,10,0,U_077,1021,2801,0,2801,2811,9,10,1,1,8100,0,ActionNormal,FX_COM03_UseUnit,
2811,CARD_COMMENT_2801,1,0,1,2801,22,2000,0,144,10,0,U_077,1021,2801,0,2801,0,10,10,1,1,8100,0,ActionNormal,FX_COM03_UseUnit,
4801,CARD_COMMENT_4801,1,0,1,4801,22,2000,14,16,10,0,U_089,1021,4801,0,4801,4802,0,4,0,1,8200,0,ActionNormal,FX_COM03_UseUnit,
4802,CARD_COMMENT_4801,1,0,1,4801,22,2000,25,29,10,0,U_089,1021,4801,0,4801,4803,1,4,0,1,8200,0,ActionNormal,FX_COM03_UseUnit,
4803,CARD_COMMENT_4801,1,0,1,4801,22,2000,36,42,10,0,U_089,1021,4801,0,4801,4804,2,4,0,1,8200,0,ActionNormal,FX_COM03_UseUnit,
4804,CARD_COMMENT_4801,1,0,1,4801,22,2000,48,54,10,0,U_089,1021,4801,0,4801,4805,3,4,0,1,8200,0,ActionNormal,FX_COM03_UseUnit,
4805,CARD_COMMENT_4801,1,0,1,4801,22,2000,1,67,10,0,U_089,1021,4801,0,4801,4806,4,4,0,1,8200,0,ActionNormal,FX_COM03_UseUnit,
4806,CARD_COMMENT_4801,1,0,1,4801,22,2000,84,80,10,0,U_089,1021,4801,0,4801,4807,5,10,1,1,8200,0,ActionNormal,FX_COM03_UseUnit,
4807,CARD_COMMENT_4801,1,0,1,4801,22,2000,98,93,10,0,U_089,1021,4801,0,4801,4808,6,10,1,1,8200,0,ActionNormal,FX_COM03_UseUnit,
4808,CARD_COMMENT_4801,1,0,1,4801,22,2000,112,106,10,0,U_089,1021,4801,0,4801,4809,7,10,1,1,8200,0,ActionNormal,FX_COM03_UseUnit,
4809,CARD_COMMENT_4801,1,0,1,4801,22,2000,126,118,10,0,U_089,1021,4801,0,4801,4810,8,10,1,1,8200,0,ActionNormal,FX_COM03_UseUnit,
4810,CARD_COMMENT_4801,1,0,1,4801,22,2000,140,131,10,0,U_089,1021,4801,0,4801,4811,9,10,1,1,8200,0,ActionNormal,FX_COM03_UseUnit,
4811,CARD_COMMENT_4801,1,0,1,4801,22,2000,0,144,10,0,U_089,1021,4801,0,4801,0,10,10,1,1,8200,0,ActionNormal,FX_COM03_UseUnit,
3101,CARD_COMMENT_3101,u012,1,0,1,3101,23,2000,14,16,8,0,U_057,1012,3101,0,3101,3102,0,4,0,1,8400,0,ActionNormal,FX_COM03_UseUnit
3102,CARD_COMMENT_3101,u012,1,0,1,3101,23,2000,25,29,8,0,U_057,1012,3101,0,3101,3103,1,4,0,1,8400,0,ActionNormal,FX_COM03_UseUnit
3103,CARD_COMMENT_3101,u012,1,0,1,3101,23,2000,36,42,8,0,U_057,1012,3101,0,3101,3104,2,4,0,1,8400,0,ActionNormal,FX_COM03_UseUnit
3104,CARD_COMMENT_3101,u012,1,0,1,3101,23,2000,48,54,8,0,U_057,1012,3101,0,3101,3105,3,4,0,1,8400,0,ActionNormal,FX_COM03_UseUnit
3105,CARD_COMMENT_3101,u012,1,0,1,3101,23,2000,1,67,8,0,U_057,1012,3101,0,3101,3106,4,4,0,1,8400,0,ActionNormal,FX_COM03_UseUnit
3106,CARD_COMMENT_3101,u012,1,0,1,3101,23,2000,84,80,8,0,U_057,1012,3101,0,3101,3107,5,10,1,1,8400,0,ActionNormal,FX_COM03_UseUnit
3107,CARD_COMMENT_3101,u012,1,0,1,3101,23,2000,98,93,8,0,U_057,1012,3101,0,3101,3108,6,10,1,1,8400,0,ActionNormal,FX_COM03_UseUnit
